symbol,side,entry_price,exit_price,quantity,pnl,pnl_pct,exit_reason,date
SPY,short,567.97,571.05,65.0,-200.19999999999527,-0.005422821627902754,eod_close,2024-11-04
SPY,long,574.5506,587.95,75.0,1004.9550000000011,0.02332153164577674,eod_close,2024-11-05
SPY,long,588.8,593.36,27.0,123.1200000000016,0.007744565217391405,eod_close,2024-11-06
SPY,long,594.54,596.56,54.0,109.07999999999902,0.00339758468732126,eod_close,2024-11-07
SPY,long,598.0651,599.98,98.0,187.6601999999989,0.0032018253531262545,eod_close,2024-11-08
SPY,long,599.79,598.791,137.0,-136.86299999998766,-0.0016655829540337618,eod_close,2024-11-11
SPY,short,596.81,597.46,148.0,-96.20000000001346,-0.0010891238417588362,eod_close,2024-11-12
SPY,short,594.37,589.835,102.0,462.56999999999675,0.007629927486245887,eod_close,2024-11-14
SPY,short,586.34,585.76,43.0,24.94000000000176,0.0009891871610329176,eod_close,2024-11-15
SPY,long,590.01,590.19,107.0,19.260000000006812,0.00030507957492256684,eod_close,2024-11-19
SPY,long,594.435,594.0399,50.0,-19.754999999997835,-0.0006646647657018122,eod_close,2024-11-21
SPY,long,595.26,599.0,64.0,239.36000000000058,0.006282968786748663,eod_close,2024-11-22
SPY,long,598.9,598.93,86.0,2.5799999999976535,5.009183503084441e-05,eod_close,2024-11-25
SPY,long,601.78,603.44,111.0,184.2600000000091,0.0027584831666058723,eod_close,2024-11-29
SPY,long,603.78,603.31,113.0,-53.11000000000308,-0.0007784292291894851,eod_close,2024-12-02
SPY,short,602.465,605.67,269.0,-862.1449999999804,-0.005319811109358929,eod_close,2024-12-03
SPY,long,606.23,607.81,128.0,202.2399999999907,0.0026062715471024647,eod_close,2024-12-04
SPY,long,608.03,607.67,162.0,-58.32000000000221,-0.0005920760488791896,eod_close,2024-12-05
SPY,long,608.9586,607.344,188.0,-303.5447999999992,-0.0026514117708494396,eod_close,2024-12-06
SPY,short,605.55,604.82,142.0,103.65999999998644,0.001205515646932383,eod_close,2024-12-09
SPY,short,603.971,605.5,128.0,-195.71199999999953,-0.0025315785029413605,eod_close,2024-12-10
